ID,問題,答え
32,"#32  
be reliant on
","意味：～に依存している、～を頼りにしている、～に頼っている。

語源：
reliant は rely（リライ）から来ています。rely は古フランス語 relier（ルリエ）＝結びつける、縛る、に由来します。さらにラテン語 religare（レリガーレ）＝再び結びつける、しっかり縛る、から来ています。
re（レ）＝再び
ligare（リガーレ）＝結ぶ、縛る

同じ語源の英語：
rely「頼る」
reliable「信頼できる」
reliance「依存、信頼」
reliant「依存している」
ally「同盟する、味方」
ligament「靭帯」
oblige「義務づける」
obligation「義務」
"
33,"#33  
online purchase/online purchases
","冠詞がない場合は、普通は online purchases のように複数形にします。

an online purchase
1回のオンライン購入

the online purchase
そのオンライン購入

online purchases
オンライン購入、ネット購入全般
"
34,"#34  
連結動詞 linking verb / copular verb
","remain, stay, keep, seem, appear, look, sound, feel, become, get, grow, turn, fall, prove

ほかによく出るもの：
be
He is happy.
彼は幸せだ。

smell
The soup smells good.
そのスープはいい匂いがする。

taste
This cake tastes sweet.
このケーキは甘い味がする。

go
The milk went bad.
牛乳が悪くなった。
go bad / go wrong / go blind / go bankrupt などで使います。

come
His dream came true.
彼の夢は実現した。
come true / come loose / come undone など。

run
The river ran dry.
川が干上がった。
run short of money のような形もあります。

lie
The town lay quiet.
町は静まり返っていた。
やや文学的です。

stand
The door stood open.
ドアは開いたままだった。
やや硬い・文学的です。

sit
He sat still.
彼はじっと座っていた。
sit idle「何もしないでいる」など。

hold
"
35,"#35  
xmeet with ～
","はい。meet with ～ の後ろには基本的に名詞が来ます。

形：
meet with + 名詞

例：
meet with opposition
反対に遭う

meet with resistance
抵抗に遭う

meet with success
成功を収める

meet with approval
承認・賛同を得る

meet with clients
顧客と会う

meet with the manager
部長と面会する

つまり、後ろには「人」も「反応・結果・困難などの名詞」も来ます。

注意：
meet with to do とは普通言いません。

不自然：
The proposal met with to oppose.

自然：
The proposal met with opposition.
その提案は反対に遭った。
"
36,"#36  
The property manager of Murphy Heights apologized that the repainting work on the building's exterior had 〇〇　 apartment residents.

a. inconvenience 
b. inconveniently 
c. inconvenient 
d. inconvenienced
","正解は d. inconvenienced です。

理由：
had の後ろに来るのは過去分詞です。ここでは had inconvenienced で過去完了になります。

had + 過去分詞
had inconvenienced
迷惑をかけていた正解は d. inconvenienced です。
"
37,"#37  
形容詞句による後置修飾
名詞 + 形容詞 + 前置詞 + 名詞
","TOEICで特によく出る「名詞 + 形容詞 + 前置詞 + 名詞」は、この10個です。

applicants eligible for the position＝その職に応募資格のある応募者
employees responsible for sales＝販売を担当している従業員
staff familiar with the system＝そのシステムに詳しい職員
people interested in the seminar＝そのセミナーに関心のある人々
items available for purchase＝購入可能な商品
information relevant to the project＝そのプロジェクトに関連する情報
documents necessary for registration＝登録に必要な書類
issues related to shipping＝配送に関係する問題
expenses associated with travel＝出張に関連する費用
workers capable of handling complaints＝苦情対応ができる従業員

覚え方：
eligible for＝～に適格な
responsible for＝～を担当している、～に責任がある
familiar with＝～に詳しい
interested in＝～に関心がある
available for＝～に利用できる
relevant to＝～に関連する
necessary for＝～に必要な
related to＝～に関係した
associated with＝～に関連した
capable of＝～できる能力がある
"
38,"#38  
複合名詞で、TOEICの試験によく出るやつを、前の名詞だけ挙げて、一覧を書け。
","TOEICで特に出やすい複合名詞だけに絞ると、まずこの20個です。

customer service＝顧客サービス
sales representative＝営業担当者
marketing campaign＝販売促進キャンペーン
product launch＝製品発売
employee training＝従業員研修
training session＝研修会
business trip＝出張
meeting room＝会議室
travel expenses＝旅費
expense report＝経費報告書
job opening＝求人、空き職
job application＝応募書類、求人応募
office supplies＝事務用品
shipping address＝配送先住所
delivery date＝配達日
payment method＝支払方法
reservation confirmation＝予約確認
conference room＝会議室
safety inspection＝安全検査
maintenance schedule＝保守日程

覚えるポイント：前の名詞は基本的に単数形です。customer service、sales representative、office supplies のように使います。
"
39,"#39  
deem
","意味：～だと考える、～だと見なす、判断する。やや硬い表現で、法律・規則・ビジネス文書・TOEICでよく出ます。

形：
deem A B
AをBだと見なす

deem A to be B
AをBであると見なす

be deemed + 形容詞 / 名詞
～と見なされる
"
40,"#40  
「副詞 + 副詞」の形はTOEICでもよく出ます。前の副詞が、後ろの副詞を強めたり、程度を説明したりします。

基本形：
副詞 + 副詞
例：
","exceptionally effectively
very carefully
extremely carefully
particularly well
especially well
remarkably well
exceptionally well
extremely effectively
exceptionally effectively
remarkably effectively
very efficiently
extremely efficiently
remarkably efficiently
quite easily
fairly quickly
rather quickly
surprisingly quickly
incredibly quickly
completely independently
entirely separately
fully automatically
mostly remotely
"
41,"#41  
Disappointingly, few of the customers  〇〇 showed interest in the proposed furniture rental service.

a. survey 
b. surveys 
c. surveying 
d. surveyed
","d. surveyed
正しい。Maruichi surveyed が customers を修飾する関係代名詞省略の節です。

注意点：
複合名詞では、前の名詞は普通単数形です。だから customers survey ではなく、customer survey が普通です。
"
42,"#42  
The presentation of the major photography awards 〇〇 the speeches by the past winners.

A. have followed
B. following
C. will follow
D. to follow.
","正解は C. will follow です。

have followed がダメな理由：
The presentation が単数なら、現在完了は has followed でなければならない。

The award presentation will follow the speeches.
授賞式はスピーチの後に行われます。自然。

The award presentation has followed the speeches.
授賞式はスピーチの後に行われてきた／行われたところだ。不自然な場面が多い。

つまり、has followed なら文法上は単数主語に合いますが、このTOEIC問題の意味では will follow が正しいです。


"
43,"#43  
The outstanding sales results achieved by TJ Electronics 〇〇 to collaborative efforts of the marketing team.

A. attributed 
B. have attributed 
C. were attributed 
D. are attributing

","正解は C. were attributed です。

ポイント：
attribute A to B
AをBに帰する、AはBのおかげだと考える

受け身にすると、
A is / are / was / were attributed to B
AはBに起因するとされる

この場合は、attributed by ではなく attributed to になります。理由は、attribute A to B という動詞の型が決まっているからです。

基本形：
attribute A to B
AをBに帰する
AはBが原因だと考える
AはBのおかげだとする
"
44,"#44  
It is + 形容詞 + that + 主語 + 動詞の原形

これは文法的には「仮定法現在」または「mandative subjunctive」と呼ばれる形です。形は次です。
","TOEICでは特に、
It is essential that ～ be submitted
It is necessary that ～ be completed
It is required that ～ be returned
It is recommended that ～ be updated
It is important that ～ be reviewed
あたりがよく出ます。覚えるなら「必要・重要・提案・要求系の形容詞 + that節では、動詞は原形。受け身は be + 過去分詞」です。
"
45,"#45  
A new remuneration system was initiated last year, 〇〇 in striking improvement in employee morale.

a. resulted, 
b. resulting, 
c. has resulted, 
d. will result.
","理由：
カンマの後ろの resulting in ～ は「その結果～をもたらして」という分詞構文です。前の文全体、つまり「新しい報酬制度が導入されたこと」が原因となって、「従業員の士気向上」という結果が生じた、という意味です。

A resulted は不可。カンマの後ろに resulted を置くなら、主語が必要です。例えば、which resulted in ～ なら正しいです。

C has resulted も不可。これも主語がありません。which has resulted in ～ なら文法上は可能ですが、last year と現在完了 has resulted の相性はやや注意が必要です。

D will result も不可。これも主語がありません。さらに「昨年導入され、これから結果をもたらす」という意味なら文脈次第で可能ですが、この文では in striking improvement とすでに結果を述べているので不自然です。
"
46,"#46  
Orders for office stationery 〇〇 after the Accounting Department has received a copy of the purchase requisition form.

a. were placed, 
b. placed, 
c. will be placed, 
d. have placed
","正解は C. will be placed です。

他の選択肢：
A. were placed
過去形。「注文は出された」となり、after has received との時制が合いにくい。

B. placed
過去形または過去分詞だけで、主語 Orders に対する述語としては不十分。

D. have placed
能動形。「注文が何かを出した」となり不自然。正しくは have been placed なら受け身。
"
47,"#47  
All residents are cordially invited to attend the forthcoming meeting of the Ravenford Neighborhood Association, which 〇〇 on April 17th.

a) was held. 
b) will be holding. 
c) being held. 
d) is to be held.
","正解は d) is to be held です。

他の選択肢：
a) was held
「開催された」。過去なので forthcoming「今度の」と合いません。

b) will be holding
能動進行形。「会合が何かを開催していることになる」ので不自然。正しくは will be held なら可能です。

c) being held
which being held とは言えません。関係詞節には動詞が足りません。which is being held なら「現在開催中／近く開催されるところ」ですが、この文では is to be held が最適です。

forthcoming = これから来る、今度の
だから、過去形 was held は不可。
meeting は「開催される」側なので、受け身 be held が必要。
予定表現として is to be held が合う。
"
48,"#48  
Not until last week had Ms. Witz 〇〇  that the firm was relocating to the outskirts of the city.

a. realizing
b. realized
c. realize
d. had realized
","正解は B. realized です。

理由：
文頭に Not until last week が来ているので、倒置が起きています。

倒置：
Not until last week had Ms. Witz realized that ...

つまり、had + 主語 + 過去分詞 の形になります。だから realized が正しいです。
"
49,"#49  
The architect from Maxwell Design is expected to bring a scale model to the meeting to show how the proposed shopping mall 〇〇.

a. would look
b. was looked
c. to look
d. will be looked.
","正解は a. would look です。

b. was looked
不可。look は「見える」の意味では受け身にしない。

c. to look
不可。how the mall to look とは言えない。動詞が足りない。

d. will be looked
不可。受け身で不自然。look at なら be looked at「見られる」は可能だが、この文では「見える」という意味なので不可。
"
50,"#50  
The highly anticipated documentary The Winner was finally released last weekend, 〇〇 delighted many film enthusiasts.

 a. which, b. when, c. what, d. who
","正解は a. which です。

この文型のパターンも覚えること。
"
51,"#51  
The affordability of the product offered by TechMart is 〇〇 appealed to customers most.

A. what
B. that
C. which
D. who
","正解：A. what

完成文：
The affordability of the product offered by TechMart is what appealed to customers most.

意味：
TechMartが提供した商品の手頃な価格こそが、顧客に最も訴えた点だった。

理由：
what appealed to customers most は「顧客に最も訴えたもの」という名詞節です。ここでは is の後ろに補語として入ります。

B. that は不可。that appealed to customers most だけでは「～したもの」という名詞節になりません。関係代名詞 that を使うなら、the thing that appealed to customers most のように、先行詞 the thing が必要です。

C. which は不可。which appealed to customers most だけでも疑問節のようには見えますが、この文では「何が顧客に最も訴えたか」という意味ではなく、「～したもの」という名詞節が必要なので what が自然です。

D. who は人を表すので不可です。
"
52,"#52  
Although winners of the annual drawing are notified by mail, many people failed to claim prizes to 〇〇 they are entitled.

A. how
B. what
C. which
D. that.
","正解は C. which です。

D. that
意味的には prizes that they are entitled to なら可能です。ただし、前置詞 to を関係代名詞の前に出した形、to 何々 では、to that とは普通言えません。だから不可。

前置詞 + which はOKです。
前置詞 + that は不可です。
"
53,"#53  
The course curriculum was designed by professors from various colleges, each of 〇〇 provided a unique perspective on language acquisition.

A. that 
B. who 
C. all 
D. which 
","入るのは whom です。

先行詞は professors で「人」です。
each of ～ の後ろに来る関係代名詞で、人を受ける場合は whom を使います。

比較：
人：each of whom
物：each of which

例：
The team includes five engineers, each of whom has extensive experience.
そのチームには5人の技術者がいて、その各人が豊富な経験を持っている。

The company released three products, each of which has new features.
その会社は3つの製品を発売し、そのそれぞれに新機能がある。

注意：
each of who は不可です。前置詞 of の後ろなので、目的格 whom を使います。口語では who を使う人もいますが、TOEICでは each of whom が正解です。
"
54,"#54  
thus far
","thus far

意味：
これまでのところ、今までのところ、ここまでは。

例：
The project has been successful thus far.
そのプロジェクトは、これまでのところ成功している。

Thus far, no problems have been reported.
これまでのところ、問題は報告されていない。

使い方：
thus far は so far とほぼ同じ意味です。ただし、thus far のほうが少し硬く、書き言葉・ビジネス文書・報告書向きです。

so far
今のところ、これまでのところ。普通の会話でもよく使う。

thus far
これまでのところ。ややフォーマル。

語源：
thus は古英語 ?us（スース）「このように、こうして」から来ています。
far は古英語 feorr（フェオル）「遠くに、遠い」から来ています。

thus far は直訳すると「このように遠くまで」→「ここまでのところ」→「これまでのところ」という意味です。

同じ語源の英語：
thus：このように、したがって
far：遠い、遠くに
farther：さらに遠く
further：さらに、追加の
so far：これまでのところ
faraway：遠く離れた
far-reaching：広範囲に及ぶ
"
55,"#55  
We are particularly interested in other options, such as opinions about our customer service, but 〇〇feedback is welcome as well.

a. another, 
b. these, 
c. each, 
d. other
","正解は d. other です。

feedback は不可算名詞なので、another や each は基本的に合いません。

a. another feedback は不可。another は「もう一つの」で、単数可算名詞につく。feedback は不可算なので another piece of feedback なら可。
b. these feedback は不可。these は複数名詞につく。these comments なら可。
c. each feedback は不可。each は単数可算名詞につく。each piece of feedback なら可。
d. other feedback が正しい。「その他のフィードバック」という意味で、不可算名詞にも使える。
"
56,"#56  
during の後ろには普通、動名詞 doing は置きません。

during は前置詞ですが、後ろには「名詞」または「名詞句」を置きます。
","不自然・不可：
during discussing the issue
その問題を議論している間に、とは普通言わない
この場合は while を使います。

正しい：
while discussing the issue
その問題を議論している間に
"
57,"#57  
among + 最上級 + 複数名詞、という形はあります。
","= one of the most + 複数名詞
= 最も～なものの一つ、～の中でも特に～なものの一つ
"
