ID,問題,答え
12,"DJ-FEsec

JIS Q 27000:2014(情報セキュリティマネジメントシステム-用語)における""リスクレベ ル""の定義はどれか。

ア　脅威によって付け込まれる可能性のある,資産又は管理策の弱点

イ　結果とその起こりやすさの組合せとして表現される,リスクの大きさ

ウ　対応すべきリスクに付与する優先順位

エ　リスクの重大性を評価するために目安とする条件
","【正解】　イ

ア　脆弱性の定義です。

イ　正しい。 リスクレベルの定義です。 リスクごとのリスクレベルは、リスク分析で決定さ れます。

ウ　この記述に対応する定義はありません。

エ　リスク基準の定義です。
"
13,"DJ-FEsec
楕円曲線暗号の例
","ECDSA（Elliptic Curve Digital Signature Algorithm）
　楕円曲線上の離散対数問題の難しさを利用するデジタル署名方式です。ビットコインやイーサリアムなど多くの暗号資産で採用されており、小さい鍵サイズで高いセキュリティを実現しています。

ECDH（Elliptic Curve Diffie-Hellman）
　楕円曲線を使った鍵交換プロトコルで、安全に共通鍵を生成するために使われます。従来のDH鍵交換よりも効率的で軽量です。
"
14,"DJ-FEsec
名前を答えよ。

JPCERT/CCの説明はどれか。

ア　“産業標準化法に基づいて経済産業省に設置されている審議会であり、 産業標準化全般に関する調査・審議を行っている。

イ　“電子政府推奨暗号の安全性を評価・監視し,暗号技術の適切な実装法・運用法を調査・検討す
るプロジェクトであり,総務省及び経済産業省が共同で運営する暗号技術検討会などで構成され る。

ウ　“特定の政府機関や企業から独立した組織であり,国内のコンピュータセキュリティインシデン トに関する報告の受付、 対応の支援, 発生状況の把握、 手口の分析, 再発防止策の検討や助言を 行っている。

エ　“内閣官房に設置され、 我が国をサイバー攻撃から防衛するための司令塔機能を担う組織であ
る。”
","【正解】　ウ

ア　日本産業標準調査会 (JISC) の説明です。

イ　CRYPTRECの説明です。

ウ　JPCERT/CCの説明です。

エ　国家サイバー統括室 (NCO)の説明です。
"
15,"DJ-FEsec
名前は？

攻撃対象のサービスを妨害するために, 攻撃者がDNSサーバを踏み台に利用して再帰的な問合せを大量に行う。
","DNSリフレクション攻撃
"
16,"DJ-FEsec

不正が発生する際には ""不正のトライアングル""の3要素全てが存在すると考えられている。""不正のトライアングル""の構成要素の説明として、 適切なものはどれか。

ア　""機会""とは,情報システムなどの技術や物理的な環境,組織のルールなど,内部者による不正行為の実行を可能又は容易にする環境の存在である。

イ　""情報と伝達"" とは,必要な情報が識別, 把握及び処理され, 組織内外及び関係者相互 に正しく伝えられるようにすることである。

ウ　""正当化”とは, ノルマによるプレッシャなどのことである。

エ　""動機""とは,良心のかしゃくを乗り越える都合の良い解釈や他人への責任転嫁など, 内部者が不正行為を自ら納得させるための自分勝手な理由付けである。
","間違えた。

ア　正しい。

ウ　""正当化”とは、内部者が不正行為を自ら納得させるための自分勝手な理由付けです。

"
17,"DJ-FEsec

パスワードに使用できる文字の種類の数をM, パスワードの文字数をnとするとき,設定できるパスワードの理論的な総数を求める数式は。
","Mのｎ乗　← 考えてみれば単純
"
18,"DJ-FEsec

WAFの説明はどれか。

ア　Webアプリケーションへの攻撃を検知し, 阻止する。

イ　Webブラウザの通信内容を改ざんする攻撃をPC内で監視し, 検出する。

ウ　サーバのOSへの不正なログインを監視する。

エ　ファイルへのマルウェア感染を監視し, 検出する。
","【正解】　ア
“あなたの解答:エ”

ア　“Webアプリケーションへの攻撃を検知し,阻止する。
正しい。WAFの説明です。

イ　“Webブラウザの通信内容を改ざんする攻撃をPC内で監視し, 検出する。”
SSL/TLSの機能です。WAFはWebサーバの前段に設置されます。

ウ　“サーバのOSへの不正なログインを監視する。
HIDS(ホスト型IDS) の説明です。

エ　“ファイルへのマルウェア感染を監視し, 検出する。
ウイルス対策ソフトの説明です。
"
19,"DJ-FEsec

マルウェアについて, トロイの木馬とワームを比較したとき, ワームの特徴はどれか。

ア　勝手にファイルを暗号化して正常に読めなくする。

イ　単独のプログラムとして不正な動作を行う。

ウ　特定の条件になるまで活動をせずに待機する。

エ　ネットワークやリムーバブルメディアを媒介として自ら感染を広げる。
","【正解】　エ
“あなたの解答:イ”
解說

ネットワークを介して他のコンピュータに感染を広げるのがワームがもつ顕著な特徴です。 したがって「エ」が適切です。

ア“勝手にファイルを暗号化して正常に読めなくする。
ランサムウェアの特徴です。

イ“単独のプログラムとして不正な動作を行う。　← 「自己の複製」とは書いてない
どちらのマルウェアも単独で動作可能です。

ウ　“特定の条件になるまで活動をせずに待機する。”
トロイの木馬の特徴です。

エ　“ネットワークやリムーバブルメディアを媒介として自ら感染を広げる。”
正しい。 ワームの特徴です。
"
20,"DJ-FEsec
何という？

ア　“IT製品やITを活用して地球環境への負荷を低減する

エ　“ネットワーク上のコンピュータに侵入する準備として、侵
入対象の弱点を探るために組織や所属する従業員などの情報を収集すること”

","ア　グリーンITの説明です。

エ　フットプリンティングの説明です。
"
21,"DJ-FEsec

ISMS適合性評価制度の説明はどれか。

ア　ISO/IEC 15408に基づき, IT関連製品のセキュリティ機能の適切性・確実性を評価する。

イ　JIS Q 15001に基づき, 個人情報について適切な保護措置を講じる体制を整備してい る事業者などを認定する。

ウ　JIS Q 27001に基づき,組織が構築した情報セキュリティマネジメントシステムの適 合性を評価する。

エ　電子政府推奨暗号リストに基づき,暗号モジュールが適切に保護されていることを認証する。
","【正解】　ウ　
“あなたの解答:工”

ア　ITセキュリティ評価及び認証制度 (JISEC)の説明です。

イ　プライバシーマーク制度の説明です。

ウ　正しい。 ISMS適合性評価制度の説明です。

工　暗号モジュール試験及び認証制度 (JCMVP)の説明です。
"
22,"DJ-FEsec

システム障害の監視対象に関する記述のうち、最も適切なものはどれか。

ア　監視ソフトウェアで監視できない項目は,すべて人間が監視する必要がある。

イ　監視ソフトウェアは, システムコンソールに表示されるメッセージを監視している。

ウ　システムオペレーターは,業務処理の遅延もシステム障害の原因となりうるので,監 視の対象とする。

エ　システムオペレーターは、障害が発生する可能性のあるすべての対象を常時監視する。
","【正解】　ウ　
“あなたの解答:工”

ア　すべてを人間が行うのは現実的に困難なので、 監視が必要な項目についてだけは人間が 監視を行います。

イ　監視ソフトウェアは、ハードディスク障害やメモリエラー、トラフィック障害などのよ うにシステム障害に繋がる事象が発生しているかをモニタリングします。

ウ　正しい。

エ　人間がすべての項目を常時監視するのは困難です。
"
23,"DJ-FEsec

JIS Q 31000:2019(リスクマネジメント-指針)におけるリスクアセスメントを構成するプロセスの組合せはどれか。

ア　リスク特定, リスク評価, リスク受容 

イ　リスク特定, リスク分析, リスク評価 

ウ　リスク分析,リスク対応, リスク受容 

エ　リスク分析, リスク評価, リスク対応

","【正解】　イ

リスクマネジメントの指針を示した規格であるJIS Q 31000では、 リスクアセスメントを
　リスク特定
　リスク分析
　リスク評価
を網羅するプロセス全体を指す」と定義しています。

したがって、正しい組合せは「リスク特定, リスク分析, リスク評価」の3つです。

リスク特定
組織の目的の達成を助ける又は妨害する可能性のあるリスクを発見し、 認識し、 記述する

リスク分析
必要に応じてリスクのレベルを含め, リスクの性質及び特徴を理解する

リスク評価
リスク分析の結果と確立されたリスク基準との比較をし,追加する行為の決定を裏付ける
"
24,"DJ-FEsec

1台のファイアウォールによって, 外部セグメント, DMZ, 内部セグメントの三つのセグメ ントに分割されたネットワークがあり、このネットワークにおいて, Webサーバと, 重要な データをもつデータベースサーバから成るシステムを使って、 利用者向けのWebサービスを インターネットに公開する。 インターネットからの不正アクセスから重要なデータを保護す るためのサーバの設置方法のうち、最も適切なものはどれか。 

ここで, Webサーバでは,デ -タベースサーバのフロントエンド処理を行い, ファイアウォールでは,外部セグメントと DMZとの間、及びDMZと内部セグメントとの間の通信は特定のプロトコルだけを許可し, 外部セグメントと内部セグメントとの間の直接の通信は許可しないものとする。

ア　WebサーバとデータベースサーバをDMZに設置する。

イ　Webサーバとデータベースサーバを内部セグメントに設置する。

ウ　WebサーバをDMZに, データベースサーバを内部セグメントに設置する。

エ　Webサーバを外部セグメントに, データベースサーバをDMZに設置する。
","【正解】　ウ　
“あなたの解答:イ”

DMZ(DeMilitarized Zone,非武装地帯)は、Webサーバ・メールサーバ・プロキシサーバな どのように外部セグメント(インターネット)からアクセスされる可能性のある情報資源を設 置するための、 外部でも内部でもない中間的な位置に存在するセグメントです。 インターネ ットと内部セグメントおよびDMZは、ルータやファイアウォールで隔てられています。

外部からのアクセスを受け付ける公開サーバを内部セグメントに設置すると、攻撃を受けた 際の被害が内部セグメントの他のサーバに波及する恐れがあります。 Webサーバは外部セグ メントからのアクセスを受け付けるので、 被害発生時の影響範囲を最小限に抑えるためにD MZに設置すべきです。

一方、利用者向けのサービスに係るデータベースサーバへのアクセ スは全てWebサーバを介して行われるため、 データベースサーバには外部セグメントから直 接アクセスさせる必要はありません。このため内部セグメントに設置します。
"
25,"DJ-FEsec

メッセージにRSA方式のデジタル署名を付与して2者間で送受信する。 そのときのデジタル 署名の検証鍵と使用方法はどれか。

ア　受信者の公開鍵であり,送信者がメッセージダイジェストからデジタル署名を作成する際に使用する。

イ　受信者の秘密鍵であり、受信者がデジタル署名からメッセージダイジェストを算出す る際に使用する。

ウ　送信者の公開鍵であり, 受信者がデジタル署名からメッセージダイジェストを算出す る際に使用する。

エ　送信者の秘密鍵であり、 送信者がメッセージダイジェストからデジタル署名を作成す る際に使用する。
","【正解】　ウ　← これってパターンがいっぱいあって混乱する。慎重に読む。
“あなたの解答:ア”

デジタル署名の生成と検証の手順は次のとおりです。
1. 送信者は、送信するメッセージのハッシュ値(メッセージダイジェスト)を生成し、そ
れに送信者の秘密鍵で署名して、署名データを作成する

2. 送信者は、署名データをメッセージに付加して送信する

3.受信者は、署名データ付きのメッセージを受信する

4. 受信者は、受信したメッセージのハッシュ値と送信者の公開鍵を使用して、署名データ を検証する

5. 検証は、送信されたメッセージと受信したメッセージが同じであり、鍵ペアが正しい場 合に限り成功する。これにより、通信内容が改ざんされていないことと送信者の正当性 が確認できる
"
26,"DJ-FEsec

2要素認証に該当する組みはどれか。

ア　クライアント証明書, ハードウェアトークン

イ　静脈認証,指紋認証

ウ　パスワード認証,静脈認証

エ　パスワード認証、 秘密の質問の答え

","【正解】　ウ
“あなたの解答:イ”

2要素認証とは、ICカードとパスワード、 指紋とパスワードなどのように、利用者が知って いる・持っている・有している情報のうち2種類の要素を使用して認証を行う方式です。2 段階で認証を行うのでセキュリティを高めることができますが、 認証システムの導入コスト が掛かることや認証のプロセスが煩雑になるデメリットもあります。

ア　“クライアント証明書, ハードウェアトークン”
両方とも所有による認証なので誤りです。

イ“静脈認証,指紋認証”
両方とも身体的特徴による認証なので誤りです。

ウ　“パスワード認証, 静脈認証”
正しい。 パスワード認証は知識による認証、静脈認証は身体的特徴による認証なので2要素認証に該当します。

エ　“パスワード認証,秘密の質問の答え”
両方とも知識による認証なので誤りです。
"
27,"DJ-FEsec

CAPTCHAの説明は？

ア　“人からのアクセスであることを確認できるよう, アクセスした者に応答を求め,その応答を分 析する仕組み”

イ　“不正なSQL文をデータベースに送信しないよう, Webサーバに入力された文字列をプレースホ ルダに割り当ててSQL文を組み立てる仕組み”

ウ　“利用者が本人であることを確認できるよう, Webサイトから一定時間ごとに異なるパスワード を要求する仕組み”

エ　“利用者が本人であることを確認できるよう, 乱数をWebサイト側で生成して利用者に送り,利 用者側でその乱数を鍵としてパスワードを暗号化し,Webサイトに送り返す仕組み”

","【正解】　ア

ア　CAPTCHAの説明です。

イ　バインド機構の説明です。

ウ　ワンタイムパスワードの説明です。

エ　チャレンジレスポンス認証の説明です。
"
28,"DJ-FEsec

WAF(Web Application Firewall) を利用する目的はどれか。

ア　Webサーバ及びアプリケーションに起因する脆(ぜい) 弱性への攻撃を遮断する。

イ　Webサーバ内でワームの侵入を検知し, ワームの自動駆除を行う。

ウ　Webサーバのコンテンツ開発の結合テスト時にアプリケーションの脆弱性や不整合 を検知する。

エ　Webサーバのセキュリティホールを発見し, OSのセキュリティパッチを適用する。
","【正解】　ア　
“あなたの解答:イ”　 

WAF（Web Application Firewall）は、Webサーバの前段に設置してWeb通信を監視し、不正な攻撃や悪意ある通信を検知・遮断する装置やサービスです。しかし、WAF自体がWebサーバ内でワームの侵入を検知し、ワームの自動駆除を行う機能を持つわけではありません。
"
29,"DJ-FEsec

システム障害を想定した事業継続計画(BCP)を策定する場合, ビジネスインパクト分析での 実施事項はどれか。

ア　BCPの有効性を検証するためのテストを実施する。

イ　情報システム障害時の代替手順と復旧手順について関係者を集めて教育する。

ウ　情報システムに関する内外の環境の変化を踏まえてBCPの内容を見直す。

エ　情報システムに許容される最大停止時間を決定する。
","【正解】　エ
“あなたの解答:ウ”

ビジネスインパクト分析とは、障害や災害によりシステムが停止した場合の事業への影響を 評価する分析手法です。

事業継続計画（BCP: Business Continuity Plan)策定の前提として行われ、分析の結果明らかになったビジネスへの影響 度が高い項目について、許容可能な最大停止時間(MTD:Maximum Tolerable Downtime) や目標復旧時間 (RTO: Recovery Time Objective)などを設定します。
障害や災害の発生時に、この許容可能な停止時間内にサービスが再開できるような内容のB CPを策定することが重要です。

ア　“BCPの有効性を検証するためのテストを実施する。'
BCM(Business Continuity Management: 事業継続マネジメント)のプロセスにおける 実施事項です。

イ“情報システム障害時の代替手順と復旧手順について関係者を集めて教育する。 
BCM活動の1つです。

ウ　“情報システムに関する内外の環境の変化を踏まえてBCPの内容を見直す。 
BCM活動の1つです。

エ　“情報システムに許容される最大停止時間を決定する。”
正しい。
"
30,"DJ-FEsec

ICカードとPINを用いた利用者認証における適切な運用はどれか。

ア　ICカードによって個々の利用者を識別できるので、 管理負荷を軽減するために全利用者に共通のPINを設定する。

イ　ICカード紛失時には,新たなICカードを発行し,PINを再設定した後で,紛失したIC カードの失効処理を行う。

ウ　PINには,ICカードの表面に刻印してある数字情報を組み合わせたものを設定する。

エ　PINは, ICカードには同封せず, 別経路で利用者に知らせる。
","【正解】　エ
“あなたの解答:イ”

ア　“ICカードによって個々の利用者を識別できるので,管理負荷を軽減するために全利用者に共通 のPINを設定する。”
PINが共通だと、他人のICカードを取得した者が不正使用することを防げないので不適 切です。

イ　“ICカード紛失時には,新たなICカードを発行し,PINを再設定した後で,紛失したICカードの 失効処理を行う。
紛失したICカードの不正使用を防ぐため、失効処理を先に行う必要があります。　← これはないだろ、と思うが最後の選択し間で読むと、【正解】　がある。

ウ　“PINには, ICカードの表面に刻印してある数字情報を組み合わせたものを設定する。
ヒントになる情報をICカードに刻印すると、 他人にPINを推測されてしまう危険性が増 すため不適切です。

エ　“PINは, ICカードには同封せず,別経路で利用者に知らせる。
正しい。 ICカードとPINが同封されていると、配送中の盗難や紛失により第三者に取得 された場合に不正利用されてしまうリスクがあります。 別経路で配送することは、この リスクを排除することに繋がるので適切な運用です。
"
31,"DJ-FEsec

経済産業省が""サイバー・フィジカル・セキュリティ対策フレームワーク (Version1.0)""を策 定した主な目的の一つはどれか。

ア　ICTを活用し,場所や時間を有効に活用できる柔軟な働き方(テレワーク)の形態を示 し,テレワークの形態に応じた情報セキュリティ対策の考え方を示すこと

イ　新たな産業社会において付加価値を創造する活動が直面するリスクを適切に捉えるた めのモデルを構築し、 求められるセキュリティ対策の全体像を整理すること

ウ　クラウドサービスの利用者と提供者が,セキュリティ管理策の実施について容易に連 携できるように,実施の手引を利用者向けと提供者向けの対で記述すること

エ　データセンターの利用者と事業者に対して""データセンターの適切なセキュリティ""と は何かを考え, 共有すべき知見を提供すること
","【正解】　イ　　← 全部暗記するしかない
“あなたの解答:ウ”

ア　“ICTを活用し,場所や時間を有効に活用できる柔軟な働き方(テレワーク)の形態を示し,テレワ ークの形態に応じた情報セキュリティ対策の考え方を示すこと”
総務省""テレワークセキュリティガイドライン""の策定目的です。

イ　“新たな産業社会において付加価値を創造する活動が直面するリスクを適切に捉えるためのモデルを構築し,求められるセキュリティ対策の全体像を整理すること”
正しい。 ""サイバー・フィジカル・セキュリティ対策フレームワーク""の策定目的です。

ウ　“クラウドサービスの利用者と提供者が,セキュリティ管理策の実施について容易に連携できるよ うに,実施の手引を利用者向けと提供者向けの対で記述すること”
経済産業省""クラウドサービス利用のための情報セキュリティマネジメントガイドライ　ン""と、総務省""クラウドサービス提供における情報セキュリティ対策ガイドライン""の策 定目的です。

エ　“データセンターの利用者と事業者に対して""データセンターの適切なセキュリティ""とは何かを考 え,共有すべき知見を提供すること”
""データセンターセキュリティガイドブック""の策定目的です。
"
32,"DJ-FEsec

リスク共有 (リスク移転)に該当するものはどれか。

ア　損失の発生率を低下させること

イ　保険への加入などで,他者との間でリスクを分散すること

ウ　リスクの原因を除去すること

エ　リスクを扱いやすい単位に分解するか集約すること

","正解イ

リスク共有(リスク移転)とは、保険をかけたりリスクのある業務を委託をしたりすることで リスクによるマイナスの影響を他者と分担する戦略です。
リスクが顕在化した場合の損失被 害額と同額の保険をかけることは、保険会社にそのリスクを転嫁することになります。

ア“損失の発生率を低下させること”
リスク低減に該当します。

イ“保険への加入などで,他者との間でリスクを分散すること”
正しい。リスク移転に該当します。

ウ　“リスクの原因を除去すること”
リスク回避に該当します。

エ“リスクを扱いやすい単位に分解するか集約すること”
リスク分解・リスク集約に該当します。

"
